0,0.0120030165795468,11.4929388793859
20,0.00210635520881872,8.97535229788682
40,0.000226872810966998,7.41983260503157
60,1.53161979308154E-05,7.27886172016274
80,9.8140367539147E-07,6.85708792096717
100,5.31062081058162E-08,7.15703215763541
120,3.24735050760148E-09,9.69502839619384
140,4.12683818103245E-10,12.3007777115486
160,8.11880663471033E-11,13.4789546658179
180,1.84114670748279E-11,14.4104160856767
200,4.59555119465074E-12,16.8360683297285
220,1.40096726317681E-12,20.4982318983641
240,5.28067581470175E-13,24.9022724592363
260,2.36532286499747E-13,29.0853655438895
280,1.18920319167024E-13,32.5696429571409
300,6.43530886218845E-14,35.5503544179159
320,3.66642671808679E-14,38.4790844277824
340,2.18028293431138E-14,41.8213107357296
360,1.35151957011947E-14,46.0272193971113
380,8.7520606129182E-15,51.5475648674193
400,5.93755837761846E-15,58.8150419795119
420,4.22597049290644E-15,68.1677890531747
440,3.15142658584236E-15,79.7230756663649
460,2.45220308819783E-15,93.2517102574699
480,1.97884543686915E-15,108.141724476758
500,1.64472150179919E-15,123.51833212404
520,1.39885183914115E-15,138.48688712261
540,1.21074246629072E-15,152.369929741952
560,1.06180924191496E-15,164.821311746763
580,9.40475908538691E-16,175.800360498911
600,8.39343990753456E-16,185.469262048349
620,7.53542969669149E-16,194.084491111949
640,6.79758874694802E-16,201.919064779182
660,6.15656114592558E-16,209.220462909214
680,5.59529139709706E-16,216.19460257837
700,5.10089581648246E-16,223.004548657182
720,4.66333988659462E-16,229.775789036191
740,4.27460000948329E-16,236.603410891937
760,3.92811983460903E-16,243.558969692366
780,3.61844820249403E-16,250.696234373143
800,3.34099089065771E-16,258.055669025293
820,3.09183504350142E-16,265.667788865147
840,2.86762106602835E-16,273.555609218739
860,2.66544630303323E-16,281.736402304323
880,2.48279060170247E-16,290.222942806346
900,2.31745738681429E-16,299.024384138279
920,2.16752606109559E-16,308.146872369282
940,2.03131291124739E-16,317.593976663145
960,1.90733857059828E-16,327.366993576954
980,1.7943006532917E-16,337.465166586868
1000,1.69105054790317E-16,347.885850504111
